Provincia,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G
BUENOS AIRES,25 de Mayo,23408,1,1,0,1,1,1,1,1,1
BUENOS AIRES,Agustín Mosconi,280,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Del Valle,899,1,0,0,0,1,0,0,1,1
BUENOS AIRES,Ernestina,145,1,0,0,0,0,0,0,0,0
BUENOS AIRES,Gobernador Ugarte,547,0,0,0,0,0,1,0,0,0
BUENOS AIRES,Lucas Monteverde,63,0,0,0,0,0,1,0,0,0
BUENOS AIRES,Norberto de la Riestra,4524,0,1,0,0,0,1,1,1,1
BUENOS AIRES,Pedernales,1432,1,0,0,0,0,0,0,0,1
BUENOS AIRES,San Enrique,279,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Valdés,579,0,0,0,0,0,0,1,0,1
BUENOS AIRES,12 de Octubre,219,0,0,0,0,0,1,1,0,0
BUENOS AIRES,9 de Julio,36494,1,1,1,1,0,1,1,1,1
BUENOS AIRES,Alfredo Demarchi (Est. Facundo Quiroga),1853,1,0,0,0,0,0,1,1,1
BUENOS AIRES,Curarú,422,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Timote,526,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Tres Algarrobos (Est. Cuenca),3201,0,0,0,0,1,0,1,1,1
BUENOS AIRES,Carmen de Areco,12775,1,1,1,1,0,1,1,1,1
BUENOS AIRES,Pueblo Gouin,122,0,0,0,0,0,1,0,0,0
BUENOS AIRES,Tres Sargentos,391,0,0,0,0,0,1,1,0,1
BUENOS AIRES,Castelli,6859,1,1,0,1,1,1,1,1,1
BUENOS AIRES,Centro Guerrero,114,0,0,0,1,0,1,0,0,0
BUENOS AIRES,Cerro de la Gloria,107,0,0,0,1,0,0,0,1,0
BUENOS AIRES,Castilla,689,0,0,0,0,0,1,1,0,0
BUENOS AIRES,Chacabuco,38418,1,1,1,1,0,1,1,1,1
BUENOS AIRES,Los Angeles,54,0,0,0,0,0,0,0,1,1
BUENOS AIRES,O'Higgins,1206,1,0,0,1,0,1,1,1,1
BUENOS AIRES,General Juan Madariaga,18089,1,0,1,1,0,0,1,1,1
BUENOS AIRES,General La Madrid,8073,1,0,1,1,0,1,1,1,1
BUENOS AIRES,La Colina,663,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Las Martinetas,215,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Líbano,292,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Pontaut,68,0,0,0,0,0,0,0,1,0
BUENOS AIRES,General Hornos,194,0,0,0,0,0,0,0,0,1
BUENOS AIRES,General Las Heras (Est. Las Heras),11331,1,1,1,0,0,1,1,1,1
BUENOS AIRES,La Choza,41,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Lozano,0,0,0,0,0,1,0,0,0,0
BUENOS AIRES,Plomer,198,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Villars,1147,0,1,1,1,0,0,1,0,0
BUENOS AIRES,Chacras de San Clemente,0,0,0,0,0,0,1,0,0,0
BUENOS AIRES,General Lavalle,1827,0,1,0,0,1,1,1,1,1
BUENOS AIRES,Pavón,942,0,0,0,1,0,1,0,1,1
BUENOS AIRES,La Plata,207620,1,1,1,1,1,1,1,1,1
BUENOS AIRES,La Providencia,0,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Lisandro Olmos,0,0,1,0,0,0,0,0,1,1
BUENOS AIRES,Lomas de Copello,420,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Los Hornos,0,0,1,0,1,0,1,0,1,1
BUENOS AIRES,Manuel B Gonnet,0,0,1,0,1,0,0,0,1,1
BUENOS AIRES,Poblet,0,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Ringuelet,0,0,1,0,1,0,0,0,1,1
BUENOS AIRES,Rufino De Elizalde,0,0,0,0,0,0,0,0,1,1
BUENOS AIRES,ruta del sol,0,1,0,0,0,0,0,0,1,1
BUENOS AIRES,ruta del sol,2312,1,0,0,0,0,0,0,1,1
BUENOS AIRES,Tolosa,0,0,1,0,1,0,0,0,1,1
BUENOS AIRES,Transradio,0,0,0,0,0,1,0,0,1,1
BUENOS AIRES,Juan N. Fernández,2721,1,0,0,0,1,1,1,1,1
BUENOS AIRES,Necochea - Quequén,84784,1,1,1,1,1,1,1,1,1
BUENOS AIRES,Nicanor Olivera (Est. La Dulce),2131,1,0,1,0,0,1,1,1,0
BUENOS AIRES,Ramón Santamarina,430,0,0,0,0,0,0,1,1,1
BUENOS AIRES,Blancagrande,65,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Colonia Hinojo,3841,0,0,0,0,0,0,0,0,1
BUENOS AIRES,Colonia Nievas,10,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Colonia San Miguel,902,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Espigas,492,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Hinojo,3841,1,0,0,0,1,1,1,1,1
BUENOS AIRES,Olavarría,89721,1,1,1,1,1,0,1,1,1
BUENOS AIRES,Recalde,385,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Santa Luisa,40,0,0,0,0,0,0,0,1,0
BUENOS AIRES,Sierra Chica,4812,0,1,0,0,0,1,0,1,1
BUENOS AIRES,Sierras Bayas,3849,1,0,1,0,0,1,1,0,0
BUENOS AIRES,Villa Martelli,25616,1,1,0,1,0,1,1,1,1
BUENOS AIRES,Mar Azul,1797,0,0,0,0,0,0,1,1,1
BUENOS AIRES,Mar De Las Pampas,0,0,0,0,0,0,0,0,1,1
BUENOS AIRES,Villa Gesell,29593,1,0,0,1,0,0,1,1,1
BUENOS AIRES,Argerich,80,0,0,0,0,0,1,1,0,0
BUENOS AIRES,Colonia San Adolfo,109,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Country Los Medanos,61,0,0,0,0,0,1,0,0,0
BUENOS AIRES,Hilario Ascasubi,3427,0,0,0,0,0,0,1,1,1
BUENOS AIRES,Juan Cousté (Est. Algarrobo),1993,0,0,1,0,0,1,1,1,1
BUENOS AIRES,Mayor Buratovich,5372,1,0,0,1,0,0,1,1,1
BUENOS AIRES,Médanos,5245,1,1,1,1,0,1,1,1,1
CABA,CONSTITUCION,44107,1,1,1,1,1,1,1,1,1
CORDOBA,Freyre,6620,1,1,0,0,0,1,1,1,1
CORDOBA,La Francia,3720,1,0,0,1,0,1,1,1,1
CORDOBA,La Paquita,947,0,0,0,0,0,0,0,0,1
CORDOBA,La Tordilla,1257,1,0,0,0,0,1,1,1,1
CORDOBA,Las Varas,1320,0,0,0,1,0,0,1,1,1
JUJUY,Jama,67,0,0,0,1,0,0,0,0,0
